id	isolate	aliases	country	year	disease	source	epidemiology	species	serogroup	genogroup	genogroup_notes	capsule_group	serotype	bioproject_accession	biosample_accession	ENA_run_accession	sender	strain_designation	Bact_rmlstc_20	Bact_rmlstc_10	Bact_rmlstc_5
46114	LNP28729		France	2016	invasive (unspecified/other)			Neisseria mucosa									75	ND: P1.ND,ND: F5-19: ST-16037 ()	7319	11507	16181
26577	GT4A_CT1		Unknown	NA				Neisseria mucosa									8	ND: P1.ND,ND: F-ND: ST-10462 ()	350	928	1494
49351	CCUG 41451 T	ATCC 33926; BennettTree46; CIP 103346; M-740; Vedros M740	Unknown	NA	carrier	other	carrier	Neisseria mucosa								ERR160760	8	ND: P1.ND,ND: F-ND: ST-9339 ()	201	566	859
5204	ATCC 19243	19243; CCUG 26468; CIP 73.12; ITM 3392; M.J.Pelczar N15	USA	1973	carrier			Neisseria mucosa									8	ND: P1.ND,ND: F-ND: ST-3569 ()	226	593	889
38974	LNP16475		France	NA				Neisseria mucosa									75	ND: P1.ND,ND: F-ND: ST-14286 ()	3209	6185	9790
49354	CCUG 32036	BennettTree44; LNP 12896	Sweden	1993	carrier	other	carrier	Neisseria mucosa								ERR160733	8	ND: P1.ND,ND: F-ND: ST-12047 ()	245	650	1004
2863	ATCC 29256	BennettTree45; CCUG 23929; CCUG 24959; CIP 103345; LMG 5290; NRL 30,016	Unknown	NA				Neisseria mucosa									2	ND: P1.ND,ND: F-ND: ST-8081 ()			
111346	SC13		Unknown	2021	other			Neisseria mucosa	other			other				ERR8015125	356	other: P1.ND,ND: F5-19: ST-ND (-)	35371	51279	67681
5198	9297	NRL9297	Unknown	NA	carrier			Neisseria mucosa									8	ND: P1.ND,ND: F-ND: ST-3563 ()			
5205	0054/92		Czech Republic	1992	carrier			Neisseria mucosa									8	ND: P1.ND,ND: F-ND: ST-3570 ()			
29526	AP2138		USA	2014				Neisseria musculi								ERR1829152	278	ND: P1.ND,ND: F15-1: ST-11088 ()	3192	6164	9765
29528	AP2145		USA	2014				Neisseria musculi								ERR1829154	278	ND: P1.ND,ND: F15-1: ST-11088 ()	3192	6164	9765
29522	AP2091		USA	2014				Neisseria musculi								ERR1829149	278	ND: P1.ND,ND: F15-1: ST-11088 ()	3192	6164	9765
29523	AP2098		USA	2014				Neisseria musculi								ERR1829150	278	ND: P1.ND,ND: F15-1: ST-11088 ()	3192	6164	9765
29527	AP2142		USA	2014				Neisseria musculi								ERR1829153	278	ND: P1.ND,ND: F15-1: ST-11088 ()	3192	6164	9765
29525	AP2131		USA	2014				Neisseria musculi								ERR1829151	278	ND: P1.ND,ND: F15-1: ST-11088 ()	3192	6164	9765
29520	AP2031		USA	2014		other		Neisseria musculi								ERR1121178	278	ND: P1.ND,ND: F15-1: ST-11088 ()	3192	6164	9765
29521	AP2089		USA	2014				Neisseria musculi								ERR1829148	278	ND: P1.ND,ND: F15-1: ST-11088 ()	3192	6164	9765
21044	F0314	11-24509; oral taxon 014	USA	1982		other		Neisseria oralis									8	ND: P1.ND,ND: F-ND: ST-10248 ()	227	594	890
42055	LNP28051		France	2015	invasive (unspecified/other)			Neisseria oralis									75	ND: P1.ND,ND: F-ND: ST-15693 ()	5667	9098	13061
21045	CCUG 10421		Sweden	1980		other		Neisseria oralis								ERR160731	8	ND: P1.ND,ND: F-ND: ST-10255 ()	220	587	881
